Trader,"PNL Amount","PNL %","Equity","Total Trades","Win Rate","Sharpe Ratio","Max Drawdown"
"0x082e843a431aef031264dc232693dd710aedca88","$8,757,953.95","306.0%","$11,619,636.76","5","20.0%","3.28","64.3%"
"0x418aa6bf98a2b2bc93779f810330d88cde488888","$3,667,198.48","82.5%","$8,112,461.10","39","84.6%","3.31","16.2%"
"0x9e2cbb5d800181c1ef21b25010dc4ea80eeb5508","$2,520,129.75","0.0%","$1,132,916.19","26","46.2%","5.26","13.3%"
"0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f","$2,346,206.18","38.1%","$8,498,783.55","1","100.0%","6.06","27.0%"
"0x123dbca6a27005a3c4ce10cb66ee8ece8fc13bff","$2,284,900.76","50.9%","$6,769,564.32","91","54.9%","3.29","5.8%"
"0x42b6d907f36255d48f70db8b4a2684088a162634","$2,272,998.40","144.9%","$3,842,173.79","16","37.5%","5.81","17.6%"
"0x3c363e96d22c056d748f199fb728fc80d70e461a","$2,190,087.95","10455.7%","$2,211,034.36","119","85.7%","6.54","1.6%"
"0x1bbfb3a33600338d5a948618189649a4588d5fc4","$2,014,072.66","48.0%","$6,212,604.70","1","100.0%","7.55","22.7%"
"0x0f991873aab3e14191978946d48f30f624ae9867","$2,002,448.88","0.0%","$0.00","34","23.5%","3.46","30.0%"
"0x208db9f389989c5c387cc3a2620cc5251eace716","$1,937,234.66","87.4%","$4,153,497.54","158","65.2%","3.92","2.8%"
"0x74da055d4ccf9dca3f15789c603e1a88a1d2d81f","1,f,""folhas99","$1,557,766.40","249.7%","$2,181,740.09","281","64.4%","16.02","0.0%"
"0xc59498175d6d317642aeb97f895a7ce1aa992191","$1,440,355.52","22.4%","$7,865,419.26","8","50.0%","4.64","12.3%"
"0xd6ef5649200101eb44ce8949f4cfb167b0c5a07a","$1,324,466.42","45.9%","$4,209,682.97","35","57.1%","3.75","4.9%"
"0x271ce82149c67fae0d2a39571707f382fe425014","$1,306,154.35","125.2%","$2,349,399.91","15","60.0%","10.43","0.0%"
"0x7eb9026d0183942458bd4660371c3cc0a2df3beb","$1,261,947.25","48.6%","$3,860,670.12","14","64.3%","6.88","6.8%"
