run_id,timestamp,sharpe_ratio,sortino_ratio,max_drawdown,total_return,win_rate,profit_factor,total_trades,avg_trade_pnl,combination_ir,is_promising,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,test_total_return,test_win_rate,test_total_trades,test_profit_factor,momentum_windows,mean_reversion_ma_periods,funding_extreme_threshold,bb_period,bb_std,rsi_period,volume_ma_period,cross_coin_lead_window,combination_min_history,regression_lookback,vol_lookback,rebalance_interval,kelly_fraction,max_fraction,min_edge,position_sizing,fixed_fraction,stop_loss_pct,take_profit_pct,max_leverage,IC_momentum,IC_mean_reversion,IC_funding_rate,IC_volatility_breakout,IC_rsi_divergence,IC_volume_imbalance,IC_bb_width,IC_funding_acceleration,IC_cross_coin
1,2026-04-10T16:10:05.280620,0.9094088209258842,nan,0.002097844351128225,0.0012622615242563473,0.6410256410256411,1.6758369285175148,39,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 5, 10, 20]","[20, 50]",0.0017351108373780415,25,2.6354052759372224,7,16,6,15,38,49,9,0.7099381324131325,0.07879456337465292,0.07816575521863671,fixed,0.046490471113165927,0.043130243192223874,0.06000560503005786,3.883647804034509,0.03948440118232643,0.010350280073012683,0.10772373143079463,0.015590038607746487,0.08804218936220087,-0.0426956793130055,0.004251711166377357,0.052400614048647376,0.028386182012801055
2,2026-04-10T16:10:09.010546,-0.18231021731027364,nan,0.011998914990861594,-0.0009270256441726854,0.59375,1.0167825445896304,256,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 3, 5]","[10, 30]",0.0016898273151303774,12,2.8794482889984265,8,25,5,38,24,76,10,0.6288018966869677,0.2541451091495199,0.013059355362703674,fixed,0.1000156469866508,0.043802878676830026,0.10823560233667984,4.2660827175223694,-0.002295581853174722,0.006428985280142864,0.07094245083078471,0.06095349642821411,0.17256392788438968,-0.03952012798662401,0.008453670189977435,0.03159590606482113,0.08377554742899589
3,2026-04-10T16:10:14.182076,0.9441461317394633,nan,0.02154811509271322,0.010016478103852533,0.5043227665706052,1.18390817293488,347,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,"[7, 14, 30]","[10, 20]",0.0013095202530446501,17,1.67196850450307,18,35,6,20,18,84,7,0.12409879241726511,0.2604113474146773,0.01445578376025981,fixed,0.15382864374064262,0.05029859666632109,0.07368447132594765,2.487993423954964,-0.19512233144939806,0.0568168395153244,0.12213339975463447,0.029194830740296874,0.1931903398306434,-0.02153250704334805,-0.08467507251069659,-0.015495033342407177,0.041935575937148965
4,2026-04-10T16:10:48.831017,-0.6299122619529585,nan,0.0032503946650146555,-0.0009201097870336072,0.44668008048289737,1.0793274752566253,1491,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[5, 10, 20]","[20, 50]",0.0014595984640604583,30,1.9660418488148959,14,11,12,10,34,73,1,0.607546635225964,0.09907956066915738,0.02233612080074985,fixed,0.02124184749569876,0.07372375558832792,0.11467314242240895,4.101283543571879,-0.024055893148386954,0.03293852885600926,-0.005996869816680217,-0.017550131837324134,0.02202689301104649,0.0036281460676973287,-0.037922940210898703,-0.020228785284630204,0.030532397075322164
5,2026-04-10T16:10:53.450752,-2.081147942651294,nan,0.004741932908447331,-0.003266529213662439,0.44933920704845814,0.7512772554341334,227,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 5, 10, 20, 30]","[10, 20]",0.0015427181860843422,21,2.638373705431863,21,20,5,36,19,85,8,0.9568829949574328,0.24413310669070515,0.03516381269813332,fixed,0.028196910294754317,0.05403224517472068,0.04030315703231048,1.8520598638703794,-0.04695213919384917,0.07364542466409266,0.07424548252198582,0.08307557260238226,0.1769573997315642,-0.08982398413952393,-0.07549612233567309,-0.037833976955697804,-0.006233492764761465
6,2026-04-10T16:11:29.209905,-0.8194094104316743,nan,0.014830469122058326,-0.005299081378242199,0.468013468013468,1.0598401756602442,891,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 5, 10, 20]","[20, 40, 60]",0.0003806102205588627,28,2.561895235419184,13,16,10,33,30,49,1,0.9228215046653008,0.08115135129719768,0.043081204400535394,fixed,0.0997787514268173,0.05696392568094785,0.11167742137724589,4.025991930817901,-0.025151900761582503,0.03302704829919229,-0.005996869816680217,-0.030018630092658156,0.0238104704867558,-0.005029386530246945,-0.036230041118411646,-0.020228785284630204,0.032849869437033934
7,2026-04-10T16:11:32.464285,-2.5743399043347535,nan,0.034633211265123184,-0.029018307233272145,0.4172661870503597,0.6804258353187117,139,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[5, 10, 20]","[15, 30, 50]",0.0017068099129990146,24,2.7442580865811017,19,16,1,38,24,39,12,0.960725468746177,0.49208566387016706,0.0351934050286374,fixed,0.23070407952350835,0.03660626519911788,0.03666224198817909,2.38773750685082,-0.11933393596927072,0.16291290007138004,0.03330201184941911,-0.023255678400411827,0.1225771830392341,-0.034635687093432746,-0.15979600005092176,-0.000663035103641161,-0.042885675324773304
8,2026-04-10T16:11:37.171141,-3.46876435488533,nan,0.03526671060951502,-0.028571123952304323,0.39285714285714285,0.2454235186719171,28,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 5, 10, 20]","[20, 40, 60]",0.00024882147308404203,20,2.1089038623389547,17,35,2,14,11,94,8,0.31722517293775165,0.22120952626182583,0.0990773694342423,fixed,0.263679302862736,0.03774467342416582,0.03940974246730651,3.064008326985041,-0.052482334120462715,0.09906858613808893,0.07424548252198582,0.045864927723906684,0.15673119319114087,-0.06433177540400606,-0.07334889155264557,-0.037833976955697804,-0.13281299173445968
9,2026-04-10T16:11:46.052311,1.2671196772329743,nan,0.0064660483633905965,0.003918327833237756,0.5384615384615384,1.3574291500176436,143,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 5, 10, 20, 30]","[30, 60]",0.000761901931985481,21,2.706720870417467,9,26,12,27,12,33,4,0.4712729904461388,0.2160474446174261,0.07785336538489768,fixed,0.06364810114929419,0.034601621729916626,0.033083052853455676,3.666476888685035,-0.02022022205465813,0.04829447090202304,0.020859381663612314,-0.058073421880040686,0.021699767033636692,-0.01559998275344859,-0.03990222543520219,-0.11791339068818546,0.052685819206619036
10,2026-04-10T16:11:55.008429,-1.4355692379327265,nan,0.02928799439689889,-0.016040963152269216,0.5049019607843137,0.8786243775069857,612,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,"[1, 2, 5, 10, 20, 30]","[10, 20]",0.0002015272220061151,29,2.4948525885079995,9,33,7,33,31,49,4,0.6811402512989118,0.37450166365295684,0.0055759543422680006,fixed,0.1794207602343539,0.06477402122255722,0.12968132441711389,1.5087066862379954,-0.02022022205465813,0.018414858203126185,0.020859381663612314,-0.059557794000073994,0.021699767033636692,0.0017901625811404002,-0.04469159005672639,-0.11791339068818546,0.0038513125059421406
